sample_rate_hz,amplitude_lsb,amplitude_mv_peak,noise_lsb,sync_state,quality_gate,valid_blocks,corrected_blocks,uncorrectable_blocks,ok_blocks,pi_hex,ps_text,lock_quality_q16,pilot_level_q8,rds_band_level_q8,success_sync_ps
227758,34,27.399267,0,2,on,35,7,3023,42,"0x0000",,56890,30697,1448,0
227758,34,27.399267,1,2,on,34,7,3073,41,"0x0000",,56797,30668,1440,0
227758,34,27.399267,2,1,on,32,6,3201,38,"0x0000",,56928,30672,1468,0
227758,34,27.399267,3,1,on,34,5,3126,39,"0x0000",,56803,30654,1430,0
227758,34,27.399267,4,2,on,31,5,3279,36,"0x0000",,56869,30602,1417,0
227758,34,27.399267,5,1,on,31,5,3278,36,"0x0000",,56678,30612,1428,0
227758,34,27.399267,6,1,on,34,2,3204,36,"0x0000",,56652,30571,1459,0
227758,34,27.399267,8,2,on,32,4,3253,36,"0x0000",,56949,30568,1484,0
227758,34,27.399267,10,1,on,34,1,3239,35,"0x0000",,57474,30458,1456,0
227758,34,27.399267,12,1,on,32,1,3332,33,"0x0000",,56779,30426,1379,0
227758,34,27.399267,16,0,on,22,1,3816,23,"0x0000",,57213,30401,1379,0
227758,35,28.205128,0,1,on,43,13,2442,56,"0x0000",,58313,30710,1515,0
227758,35,28.205128,1,1,on,43,13,2442,56,"0x0000",,58235,30683,1509,0
227758,35,28.205128,2,1,on,42,10,2571,52,"0x0000",,58320,30686,1534,0
227758,35,28.205128,3,1,on,43,5,2700,48,"0x0000",,58303,30672,1501,0
227758,35,28.205128,4,1,on,33,21,2660,54,"0x0000",,58175,30623,1483,0
227758,35,28.205128,5,1,on,43,5,2675,48,"0x0000",,58174,30626,1489,0
227758,35,28.205128,6,1,on,40,8,2750,48,"0x0000",,58037,30584,1528,0
227758,35,28.205128,8,1,on,36,10,2902,46,"0x0000",,58499,30583,1552,0
227758,35,28.205128,10,2,on,34,6,3100,40,"0x0000",,58724,30471,1513,0
227758,35,28.205128,12,1,on,35,3,3161,38,"0x0000",,58089,30444,1440,0
227758,35,28.205128,16,0,on,36,5,2998,41,"0x0000",,58328,30419,1423,0
227758,36,29.010989,0,2,on,44,23,2123,67,"0x0000",,59845,30723,1580,0
227758,36,29.010989,1,2,on,44,24,2097,68,"0x0000",,59847,30698,1574,0
227758,36,29.010989,2,2,on,44,24,2122,68,"0x0000",,59804,30696,1600,0
227758,36,29.010989,3,2,on,39,30,2021,69,"0x0000",,59820,30689,1566,0
227758,36,29.010989,4,2,on,43,22,2275,65,"0x0000",,59711,30638,1549,0
227758,36,29.010989,5,2,on,40,31,2018,71,"0x0000",,59590,30638,1558,0
227758,36,29.010989,6,1,on,43,21,2151,64,"0x0000",,59372,30598,1588,0
227758,36,29.010989,8,1,on,40,30,2145,70,"0xCAFE",,59940,30600,1615,0
227758,36,29.010989,10,1,on,40,26,2174,66,"0x0000",,59702,30482,1574,0
227758,36,29.010989,12,1,on,34,34,2122,68,"0x0000",,59720,30463,1498,0
227758,36,29.010989,16,2,on,32,25,2457,57,"0x0000",,59525,30431,1472,0
227758,37,29.816850,0,0,on,40,37,1881,77,"0xCAFE",Í“,60699,30739,1654,0
227758,37,29.816850,1,0,on,42,32,2034,74,"0xCAFE",Í“,60667,30714,1647,0
227758,37,29.816850,2,2,on,42,35,1959,77,"0xCAFE",Í“,60679,30714,1678,0
227758,37,29.816850,3,2,on,39,37,1860,76,"0xCAFE",Í“,60562,30696,1640,0
