sample_rate_hz,amplitude_lsb,amplitude_mv_peak,noise_lsb,sync_state,quality_gate,valid_blocks,corrected_blocks,uncorrectable_blocks,ok_blocks,pi_hex,ps_text,lock_quality_q16,pilot_level_q8,rds_band_level_q8,success_sync_ps
227758,1,0.805861,0,0,on,11,0,4404,11,"0x0000",,53569,30185,2115,0
227758,2,1.611722,0,0,on,14,0,4251,14,"0x0000",,54632,30192,2081,0
227758,3,2.417582,0,0,on,17,1,4072,18,"0x0000",,56079,30209,2034,0
227758,4,3.223443,0,0,on,19,0,3996,19,"0x0000",,57472,30225,1993,0
227758,5,4.029304,0,0,on,20,0,3945,20,"0x0000",,58576,30230,1950,0
227758,6,4.835165,0,0,on,19,0,3996,19,"0x0000",,59472,30250,1908,0
227758,7,5.641026,0,0,on,18,1,4021,19,"0x0000",,60170,30261,1876,0
227758,8,6.446886,0,0,on,15,2,4148,17,"0x0000",,60453,30270,1833,0
227758,9,7.252747,0,0,on,15,2,4148,17,"0x0000",,60587,30293,1799,0
227758,10,8.058608,0,0,on,13,1,4276,14,"0x0000",,60754,30312,1765,0
227758,11,8.864469,0,0,on,13,1,4276,14,"0x0000",,60827,30322,1737,0
227758,12,9.670330,0,0,on,18,2,3995,20,"0x0000",,60769,30340,1716,0
227758,13,10.476190,0,0,on,14,1,4225,15,"0x0000",,60307,30349,1689,0
227758,14,11.282051,0,0,on,16,0,4149,16,"0x0000",,59986,30373,1659,0
227758,15,12.087912,0,0,on,14,1,4225,15,"0x0000",,60239,30396,1637,0
227758,16,12.893773,0,0,on,18,1,4021,19,"0x0000",,60845,30412,1609,0
227758,17,13.699634,0,0,on,22,1,3817,23,"0x0000",,61228,30433,1581,0
227758,18,14.505495,0,0,on,16,0,4149,16,"0x0000",,60992,30440,1548,0
227758,19,15.311355,0,0,on,15,0,4200,15,"0x0000",,61146,30458,1512,0
227758,20,16.117216,0,0,on,17,1,4072,18,"0x0000",,60719,30481,1486,0
227758,21,16.923077,0,1,on,18,2,4031,20,"0x0000",,60016,30501,1457,0
227758,22,17.728938,0,0,on,18,1,4021,19,"0x0000",,59591,30513,1412,0
227758,23,18.534799,0,0,on,21,1,3868,22,"0x0000",,59122,30519,1386,0
227758,24,19.340659,0,0,on,18,1,4021,19,"0x0000",,58809,30537,1350,0
227758,25,20.146520,0,0,on,20,2,3868,22,"0x0000",,58655,30552,1313,0
227758,26,20.952381,0,0,on,19,1,3970,20,"0x0000",,58722,30564,1288,0
227758,27,21.758242,0,0,on,18,2,3995,20,"0x0000",,59073,30585,1259,0
227758,28,22.564103,0,0,on,19,1,3970,20,"0x0000",,59060,30603,1253,0
227758,29,23.369963,0,0,on,22,1,3817,23,"0x0000",,58678,30625,1248,0
227758,30,24.175824,0,0,on,21,1,3868,22,"0x0000",,57907,30630,1260,0
227758,31,24.981685,0,0,on,25,1,3664,26,"0x0000",,56805,30648,1288,0
227758,32,25.787546,0,0,on,27,4,3484,31,"0x0000",,56052,30668,1339,0
227758,33,26.593407,0,0,on,31,1,3358,32,"0x0000",,55827,30684,1387,0
227758,34,27.399267,0,2,on,35,7,3023,42,"0x0000",,56890,30697,1448,0
227758,35,28.205128,0,1,on,43,13,2442,56,"0x0000",,58313,30710,1515,0
227758,36,29.010989,0,2,on,44,23,2123,67,"0x0000",,59845,30723,1580,0
227758,37,29.816850,0,0,on,40,37,1881,77,"0xCAFE",Í“,60699,30739,1654,0
227758,38,30.622711,0,2,on,44,54,1307,98,"0xCAFE",Í“STFM  ,61237,30757,1721,0
227758,39,31.428571,0,1,on,63,55,873,118,"0xCAFE",TEæ2FM  ,62236,30778,1789,0
